sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
intermodal_path_tree,intermodal,SBT-18765-0,path,highs,1.0,3,1,12.984,12.846,-1.0628465804066536,6.555,6.456,-1.5102974828375182,5.576,5.535,-0.7352941176470495,114.79110289749852,113.26713218007649,-1.3276035153899033,7,7,19656,19656,56998,56998,0,,50.48521256931608,65.49878943120811,-0.6702434568223056,481112.000192,481112.000066,2.6189333887599245e-10,33.47286700003315,gap,gap,33.318077803203664
intermodal_path_tree,intermodal,SBT-18765-0,path,mosek,1.0,1,1,7.662,7.492,-2.218741842860871,6.549,6.38,-2.5805466483432657,0.263,0.264,0.3802281368821296,114.89876837783783,111.93375206147584,-2.580546648343262,7,7,19657,19657,56998,56998,0,,85.47376664056384,65.49703498368363,-2.2056904202558116,481112.000646,481112.000646,0.0,33.38461299997289,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,tree,copt-cpu,1.0,1,1,10.059,7.455,-25.88726513569937,8.72,6.404,-26.559633027522942,0.198,0.165,-16.666666666666668,115.10791366906474,112.35481946734973,-2.3917505877399194,9,7,19686,19675,75755,56998,1,,86.68853762799485,65.46194603319415,-2.0733736082207077,481107.5,481113.000002,1.1431960632530628e-05,28.322397999989334,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,tree,copt-gpu,1.0,1,1,10.5,8.03,-23.52380952380953,8.658,6.442,-25.59482559482559,0.719,0.707,-1.6689847009735759,114.28948584251864,113.02150952665006,-1.109442663532274,9,7,19686,19675,75755,56998,1,,82.45714285714286,65.46194603319415,-0.9148147219868981,481107.5,481113.000002,1.1431960632530628e-05,28.322397999989334,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,tree,cuopt,1.0,1,1,9.107,9.089,-0.1976501592181718,6.801,6.76,-0.6028525216879925,1.397,1.415,1.2884753042233368,119.31997613951367,118.6006526544791,-0.6028525216879888,7,7,19655,19655,56998,56998,0,,74.67881849127046,65.50054387873259,-0.45020314044142007,481112.004727,481112.004727,0.0,33.36992100003408,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,tree,highs,1.0,3,1,11.123,11.081,-0.37759597230962705,6.611,6.466,-2.193314173347445,3.646,3.734,2.413603949533738,115.98652584301203,113.44257693252395,-2.193314173347448,7,7,19658,19658,56998,56998,0,,59.43540411759418,65.49528053615916,-1.303605142497526,481112.000507,481112.000217,6.027702406224706e-10,33.480603000032715,gap,gap,1.467251550446219
intermodal_path_tree,intermodal,SBT-18765-0,tree,mosek,1.0,1,1,7.487,7.482,-0.06678242286630016,6.383,6.369,-0.21933260222466291,0.221,0.223,0.9049773755656116,111.98638548721007,111.74076283378365,-0.21933260222464782,7,7,19659,19659,56998,56998,0,,85.2544410311206,65.4935260886347,-0.18699078402563468,481112.000003,481112.000003,0.0,33.38014500000281,gap,gap,
intermodal_path_tree,intermodal,SBT-31275-0,path,copt-cpu,1.0,1,1,16.925,16.512,-2.440177252584935,15.552,15.156,-2.54629629629629,0.232,0.231,-0.43103448275862105,163.54860081395717,159.38584498895784,-2.545271438753926,6,6,32542,32542,95091,95090,0,,91.8877400295421,65.76716794615628,-2.3387924026883935,801323.000001,801323.000001,0.0,55.12427600007504,gap,gap,
intermodal_path_tree,intermodal,SBT-31275-0,path,copt-gpu,1.0,1,1,17.119,17.053,-0.3855365383491965,15.264,15.236,-0.18343815513625977,0.72,0.698,-3.0555555555555585,160.5199230211061,160.22715322326218,-0.18238844894377135,6,6,32542,32542,95091,95090,0,,89.1640866873065,65.76716794615628,-0.16262499472385802,801323.000001,801323.000001,0.0,55.12427600007504,gap,gap,
intermodal_path_tree,intermodal,SBT-31275-0,path,cuopt,1.0,1,1,26.311,23.84,-9.391509254684353,23.449,21.058,-10.196596869802558,1.621,1.625,0.24676125848241848,185.5994047901727,166.6745816909658,-10.196596869802553,6,6,32533,32533,126342,126342,0,,89.12242028049106,74.25005144765794,-9.087453916612827,801323.016391,801323.016391,0.0,55.13681199995335,gap,gap,
