sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
intermodal_path_tree,intermodal,BUS-2632-0,path,mosek,on,rep1,2628,2628,1.0,19,3231,71026.500133,71024.023104,1,gap,1.283,0.328,0.417,0.532,1,10255,13492,76.00800474355174,30.907204269196562
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-cpu,off,rep1,2628,2628,1.0,32,3243,71026.5,71021.87,1,gap,1.8,0.294,0.575,0.919,0,0,16342,0.0,35.18541182229837
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-cpu,on,rep1,2628,2628,1.0,24,3237,71026.500108,71022.844422,1,gap,1.374,0.219,0.46,0.686,1,10409,13650,76.25641025641026,33.6996336996337
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-gpu,off,rep1,2628,2628,1.0,32,3243,71026.5,71021.8716,1,gap,3.327,1.633,0.636,1.047,0,0,16342,0.0,38.91812507649003
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-gpu,on,rep1,2628,2628,1.0,24,3237,71026.500108,71022.844422,1,gap,2.518,1.216,0.517,0.776,1,10409,13650,76.25641025641026,37.875457875457876
intermodal_path_tree,intermodal,BUS-2632-0,tree,cuopt,off,rep1,2628,2628,1.0,21,3195,71026.504325,71021.874937,1,gap,3.546,2.421,0.48,0.637,0,0,13630,0.0,35.216434336023475
intermodal_path_tree,intermodal,BUS-2632-0,tree,cuopt,on,rep1,2628,2628,1.0,17,3185,71026.505234,71023.038533,1,gap,3.007,2.077,0.386,0.536,1,7790,10979,70.95363876491484,35.15802896438655
intermodal_path_tree,intermodal,BUS-2632-0,tree,highs,off,rep1,2628,2628,1.0,17,3197,71026.50001,71021.284288,1,gap,2.704,1.655,0.454,0.587,0,0,10977,0.0,41.35920561173362
intermodal_path_tree,intermodal,BUS-2632-0,tree,highs,off,rep2,2628,2628,1.0,17,3195,71026.500004,71021.022422,1,gap,2.727,1.661,0.451,0.608,0,0,10977,0.0,41.08590689623759
intermodal_path_tree,intermodal,BUS-2632-0,tree,highs,off,rep3,2628,2628,1.0,17,3228,71026.500006,71021.879298,1,gap,2.765,1.645,0.547,0.566,0,0,16096,0.0,33.98359840954274
intermodal_path_tree,intermodal,BUS-2632-0,tree,highs,on,rep1,2628,2628,1.0,17,3182,71026.500009,71022.414389,1,gap,2.609,1.606,0.424,0.572,1,7802,10988,71.00473243538406,38.587550054605025
intermodal_path_tree,intermodal,BUS-2632-0,tree,mosek,off,rep1,2628,2628,1.0,22,3213,71026.501725,71021.872897,1,gap,1.461,0.298,0.507,0.636,0,0,16140,0.0,31.412639405204462
intermodal_path_tree,intermodal,BUS-2632-0,tree,mosek,on,rep1,2628,2628,1.0,22,3200,71026.500447,71025.353484,1,gap,1.395,0.294,0.453,0.64,1,10297,13500,76.27407407407408,33.55555555555556
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-cpu,off,rep1,7883,7883,1.0,18,9218,210596.500231,210576.938819,1,gap,2.554,0.354,1.291,0.898,0,0,40253,0.0,32.07214369115346
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-cpu,on,rep1,7883,7883,1.0,18,9208,210594.5,210590.295648,1,gap,2.523,0.36,1.269,0.885,1,31122,40339,77.15114405414116,31.458390143533553
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-gpu,off,rep1,7883,7883,1.0,18,9218,210596.5,210576.867383,1,gap,3.573,1.361,1.285,0.916,0,0,40253,0.0,31.923086478026484
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-gpu,on,rep1,7883,7883,1.0,18,9208,210593.001633,210590.102034,1,gap,3.508,1.329,1.269,0.899,1,31129,40339,77.16849698802648,31.458390143533553
intermodal_path_tree,intermodal,BUS-7896-0,path,cuopt,off,rep1,7883,7883,1.0,17,9104,210595.501182,210576.702768,1,gap,4.724,2.715,1.119,0.879,0,0,32508,0.0,34.42229605020303
intermodal_path_tree,intermodal,BUS-7896-0,path,cuopt,on,rep1,7883,7883,1.0,17,9093,210595.501222,210584.514201,1,gap,4.176,2.221,1.057,0.888,1,23297,32403,71.89766379656204,32.62043637934759
intermodal_path_tree,intermodal,BUS-7896-0,path,highs,off,rep1,7883,7883,1.0,15,9104,210592.000083,210576.87007,1,gap,8.612,6.706,1.1,0.796,0,0,32530,0.0,33.81494005533354
intermodal_path_tree,intermodal,BUS-7896-0,path,highs,off,rep2,7883,7883,1.0,12,9130,210592.000093,210578.183994,1,gap,7.274,5.149,1.482,0.636,0,0,48296,0.0,30.685771078350175
intermodal_path_tree,intermodal,BUS-7896-0,path,highs,off,rep3,7883,7883,1.0,15,9112,210592.000016,210577.17197,1,gap,8.496,6.592,1.115,0.778,0,0,32539,0.0,34.26657242078736
intermodal_path_tree,intermodal,BUS-7896-0,path,highs,on,rep1,7883,7883,1.0,14,9094,210594.000144,210582.887305,1,gap,7.833,6.033,1.044,0.747,1,23334,32448,71.91198224852072,32.17455621301775
intermodal_path_tree,intermodal,BUS-7896-0,path,mosek,off,rep1,7883,7883,1.0,14,9163,210592.000085,210577.234629,1,gap,2.652,0.655,1.275,0.712,0,0,40168,0.0,31.741684923322047
intermodal_path_tree,intermodal,BUS-7896-0,path,mosek,on,rep1,7883,7883,1.0,11,9116,210594.004879,210586.335311,1,gap,1.997,0.482,0.96,0.548,1,23165,32297,71.72492801188965,29.724122983558843
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-cpu,off,rep1,7883,7883,1.0,16,9168,210593.501491,210575.695613,1,gap,2.411,0.304,1.282,0.816,0,0,40322,0.0,31.794057834432817
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-cpu,on,rep1,7883,7883,1.0,20,9271,210595.000061,210590.316884,1,gap,2.656,0.359,1.272,1.013,1,30979,40274,76.92059393156876,31.583651983910215
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-gpu,off,rep1,7883,7883,1.0,16,9168,210593.501491,210575.695613,1,gap,3.207,1.112,1.266,0.819,0,0,40322,0.0,31.397252120430533
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-gpu,on,rep1,7883,7883,1.0,20,9271,210595.000061,210590.316884,1,gap,3.66,1.28,1.325,1.037,1,30979,40274,76.92059393156876,32.89963748323981
intermodal_path_tree,intermodal,BUS-7896-0,tree,cuopt,off,rep1,7883,7883,1.0,17,9102,210595.509752,210576.723623,1,gap,4.681,2.642,1.097,0.931,0,0,32506,0.0,33.74761582477081
intermodal_path_tree,intermodal,BUS-7896-0,tree,cuopt,on,rep1,7883,7883,1.0,17,9091,210595.508469,210584.570441,1,gap,4.139,2.133,1.064,0.931,1,23297,32401,71.90210178698189,32.838492639116076
intermodal_path_tree,intermodal,BUS-7896-0,tree,highs,off,rep1,7883,7883,1.0,15,9104,210593.500231,210574.106922,1,gap,6.378,4.469,1.065,0.836,0,0,32522,0.0,32.7470635262284
intermodal_path_tree,intermodal,BUS-7896-0,tree,highs,off,rep2,7883,7883,1.0,15,9104,210593.5003,210574.105734,1,gap,6.397,4.465,1.082,0.841,0,0,32522,0.0,33.26978660598979
intermodal_path_tree,intermodal,BUS-7896-0,tree,highs,off,rep3,7883,7883,1.0,22,9123,210592.000098,210577.95956,1,gap,9.418,6.754,1.417,1.235,0,0,40332,0.0,35.13339283943271
intermodal_path_tree,intermodal,BUS-7896-0,tree,highs,on,rep1,7883,7883,1.0,15,9109,210598.500042,210584.719863,1,gap,6.406,4.477,1.079,0.841,1,23233,32357,71.80208301140402,33.34672559260747
intermodal_path_tree,intermodal,BUS-7896-0,tree,mosek,off,rep1,7883,7883,1.0,17,9102,210593.000449,210576.299639,1,gap,2.669,0.687,1.089,0.882,0,0,32429,0.0,33.581053994881124
intermodal_path_tree,intermodal,BUS-7896-0,tree,mosek,on,rep1,7883,7883,1.0,18,9151,210593.518273,210587.916917,1,gap,2.728,0.7,1.087,0.921,1,23301,32456,71.7925807246734,33.49149617944294
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-cpu,off,rep1,18745,18745,1.0,9,19687,481107.500187,481069.624949,1,gap,10.054,0.207,8.736,1.103,0,0,75755,0.0,115.3191208501089
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-cpu,on,rep1,18745,18745,1.0,7,19676,481113.000947,481097.593713,1,gap,7.407,0.165,6.386,0.85,1,37311,56998,65.46019158566968,112.03901891294431
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-gpu,off,rep1,18745,18745,1.0,9,19687,481107.500187,481069.624949,1,gap,10.407,0.756,8.581,1.063,0,0,75755,0.0,113.27305128374364
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-gpu,on,rep1,18745,18745,1.0,7,19676,481113.000947,481097.593713,1,gap,7.884,0.645,6.389,0.844,1,37311,56998,65.46019158566968,112.09165233867856
intermodal_path_tree,intermodal,SBT-18765-0,path,cuopt,off,rep1,18745,18745,1.0,7,19656,481112.056827,481065.871429,1,gap,9.092,1.472,6.736,0.878,0,0,56998,0.0,118.17958524860522
intermodal_path_tree,intermodal,SBT-18765-0,path,cuopt,on,rep1,18745,18745,1.0,7,19656,481112.056827,481099.239035,1,gap,8.905,1.519,6.515,0.865,1,37333,56998,65.49878943120811,114.30225621951648
