sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,cutoff_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep3,32000,1225,26.122448979591837,11,81874,3593521818.095533,3593517602.921721,1,gap,11.789,11.199,0.191,0.098,0,0,15925,0.0,11.993720565149136
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep1,32000,1225,26.122448979591837,11,81874,3593521818.095512,3593517903.340158,1,gap,11.209,10.623,0.186,0.101,1,7296,15925,45.81475667189953,11.679748822605966
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep2,32000,1225,26.122448979591837,11,81874,3593521818.095518,3593517903.34017,1,gap,11.473,10.896,0.189,0.098,1,7296,15925,45.81475667189953,11.868131868131869
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep3,32000,1225,26.122448979591837,11,81874,3593521818.095522,3593517903.34018,1,gap,11.816,11.225,0.193,0.104,1,7296,15925,45.81475667189953,12.119309262166405
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep1,32000,1225,26.122448979591837,27,9440,3593529302.234959,3593482228.808885,1,gap,13.28,12.365,0.475,0.067,0,0,41650,0.0,11.404561824729893
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep2,32000,1225,26.122448979591837,29,9529,3593521839.471518,3593517397.030282,1,gap,14.694,13.703,0.489,0.077,0,0,44100,0.0,11.08843537414966
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep3,32000,1225,26.122448979591837,25,9513,3593686056.916893,3593355030.588228,1,gap,12.023,11.193,0.446,0.059,0,0,39200,0.0,11.377551020408163
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep1,32000,1225,26.122448979591837,25,9505,3593666713.987979,3593381574.282011,1,gap,11.432,10.737,0.319,0.061,1,14753,39200,37.63520408163265,8.137755102040817
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep2,32000,1225,26.122448979591837,25,9505,3593666713.987998,3593381574.282011,1,gap,11.791,11.083,0.333,0.058,1,14753,39200,37.63520408163265,8.494897959183673
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep3,32000,1225,26.122448979591837,27,9440,3593525446.247543,3593490077.287825,1,gap,13.425,12.622,0.357,0.068,1,14847,41650,35.64705882352941,8.571428571428571
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep1,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.353,1.349,0.003,0.0,0,0,275,0.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep2,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.376,1.372,0.003,0.0,0,0,275,0.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep3,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.41,1.407,0.002,0.0,0,0,275,0.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep1,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.422,1.418,0.003,0.0,1,187,275,68.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep2,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.464,1.46,0.003,0.0,1,187,275,68.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep3,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.421,1.418,0.002,0.0,1,187,275,68.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep1,100,25,4.0,14,150,1705375.0,1705373.1053,1,gap,2.26,2.255,0.003,0.0,0,0,500,0.0,6.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep2,100,25,4.0,15,150,1705381.362162,1705373.1053,1,gap,2.691,2.68,0.009,0.0,0,0,525,0.0,17.142857142857142
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep3,100,25,4.0,14,150,1705375.0,1705373.1053,1,gap,2.362,2.357,0.003,0.0,0,0,500,0.0,6.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep1,100,25,4.0,14,150,1705375.0,1705373.847981,1,gap,2.451,2.445,0.004,0.0,1,324,500,64.8,8.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep2,100,25,4.0,15,150,1705381.362162,1705373.847981,1,gap,2.581,2.575,0.004,0.0,1,348,525,66.28571428571429,7.619047619047619
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep3,100,25,4.0,15,150,1705381.362162,1705373.847981,1,gap,2.524,2.517,0.005,0.0,1,348,525,66.28571428571429,9.523809523809524
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep1,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.359,1.355,0.003,0.0,0,0,520,0.0,5.769230769230769
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep2,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.42,1.409,0.009,0.0,0,0,520,0.0,17.307692307692307
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep3,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.408,1.404,0.003,0.0,0,0,520,0.0,5.769230769230769
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep1,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.224,1.22,0.002,0.0,1,366,440,83.18181818181819,4.545454545454546
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep2,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.286,1.264,0.02,0.0,1,366,440,83.18181818181819,45.45454545454545
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep3,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.232,1.228,0.004,0.0,1,366,440,83.18181818181819,9.090909090909092
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep1,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.49,1.484,0.004,0.0,0,0,560,0.0,7.142857142857143
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep2,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.53,1.526,0.002,0.0,0,0,560,0.0,3.5714285714285716
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep3,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.533,1.529,0.003,0.0,0,0,560,0.0,5.357142857142857
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep1,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.485,1.481,0.003,0.0,1,477,560,85.17857142857143,5.357142857142857
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep2,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.561,1.555,0.004,0.0,1,477,560,85.17857142857143,7.142857142857143
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep3,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.532,1.528,0.002,0.0,1,477,560,85.17857142857143,3.5714285714285716
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep1,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.373,1.369,0.003,0.0,0,0,756,0.0,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep2,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.443,1.439,0.002,0.0,0,0,756,0.0,2.6455026455026456
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep3,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.422,1.418,0.003,0.0,0,0,756,0.0,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep1,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.423,1.419,0.003,0.0,1,596,756,78.83597883597884,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep2,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.451,1.448,0.003,0.0,1,596,756,78.83597883597884,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep3,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.466,1.461,0.004,0.0,1,596,756,78.83597883597884,5.291005291005291
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep1,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,1.943,1.938,0.003,0.0,0,0,1071,0.0,2.8011204481792715
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep2,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,2.068,2.063,0.004,0.0,0,0,1071,0.0,3.734827264239029
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep3,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,2.027,2.021,0.003,0.0,0,0,1071,0.0,2.8011204481792715
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep1,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,1.998,1.993,0.004,0.0,1,846,1071,78.99159663865547,3.734827264239029
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep2,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,2.05,2.043,0.005,0.0,1,846,1071,78.99159663865547,4.6685340802987865
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep3,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,2.065,2.057,0.005,0.0,1,846,1071,78.99159663865547,4.6685340802987865
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep1,100,83,1.2048192771084338,10,272,5049697.0,5049603.1816,1,gap,1.689,1.682,0.004,0.001,0,0,1079,0.0,3.7071362372567194
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep2,100,83,1.2048192771084338,9,268,5049726.000001,5049267.181601,1,gap,1.618,1.613,0.003,0.001,0,0,996,0.0,3.0120481927710845
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep3,100,83,1.2048192771084338,9,268,5049726.0,5049267.1816,1,gap,1.626,1.621,0.003,0.001,0,0,996,0.0,3.0120481927710845
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep1,100,83,1.2048192771084338,9,268,5049726.0,5049271.843514,1,gap,1.595,1.588,0.006,0.001,1,750,996,75.3012048192771,6.024096385542169
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep2,100,83,1.2048192771084338,9,268,5049726.0,5049271.843514,1,gap,1.641,1.636,0.004,0.001,1,750,996,75.3012048192771,4.016064257028113
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep3,100,83,1.2048192771084338,10,272,5049697.0,5049608.162788,1,gap,1.807,1.801,0.004,0.001,1,831,1079,77.01575532900834,3.7071362372567194
gridplanar_path_tree,grid,grid5,tree,copt-gpu,off,rep1,100,83,1.2048192771084338,13,260,5049688.500151,5049682.681564,1,gap,2.197,2.189,0.005,0.001,0,0,1577,0.0,3.170577045022194
