sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep1,100,25,4.0,14,150,1705375.0,1705373.847981,1,gap,2.383,2.378,0.003,0.0,1,324,500,64.8,6.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep2,100,25,4.0,14,150,1705375.0,1705373.847981,1,gap,2.34,2.335,0.003,0.0,1,324,500,64.8,6.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,on,rep3,100,25,4.0,15,150,1705381.362162,1705373.847981,1,gap,2.529,2.523,0.004,0.0,1,348,525,66.28571428571429,7.619047619047619
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep1,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.409,1.404,0.004,0.0,0,0,520,0.0,7.6923076923076925
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep2,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.404,1.4,0.002,0.0,0,0,520,0.0,3.8461538461538463
gridplanar_path_tree,grid,grid3,path,copt-gpu,off,rep3,50,40,1.25,8,90,1524642.001492,1524640.240195,1,gap,1.375,1.372,0.002,0.0,0,0,520,0.0,3.8461538461538463
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep1,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.273,1.267,0.005,0.0,1,366,440,83.18181818181819,11.363636363636363
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep2,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.241,1.238,0.003,0.0,1,366,440,83.18181818181819,6.818181818181818
gridplanar_path_tree,grid,grid3,path,copt-gpu,on,rep3,50,40,1.25,7,88,1524748.0,1524595.675788,1,gap,1.261,1.257,0.003,0.0,1,366,440,83.18181818181819,6.818181818181818
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep1,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.525,1.52,0.004,0.0,0,0,560,0.0,7.142857142857143
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep2,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.567,1.564,0.002,0.0,0,0,560,0.0,3.5714285714285716
gridplanar_path_tree,grid,grid3,tree,copt-gpu,off,rep3,50,40,1.25,9,82,1524730.000006,1524598.2404,1,gap,1.548,1.544,0.003,0.0,0,0,560,0.0,5.357142857142857
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep1,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.584,1.581,0.003,0.0,1,477,560,85.17857142857143,5.357142857142857
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep2,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.544,1.54,0.003,0.0,1,477,560,85.17857142857143,5.357142857142857
gridplanar_path_tree,grid,grid3,tree,copt-gpu,on,rep3,50,40,1.25,9,82,1524730.000006,1524599.676188,1,gap,1.554,1.55,0.003,0.0,1,477,560,85.17857142857143,5.357142857142857
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep1,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.415,1.41,0.003,0.0,0,0,756,0.0,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep2,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.455,1.451,0.003,0.0,0,0,756,0.0,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,off,rep3,100,63,1.5873015873015872,8,237,3031695.001622,3031691.506784,1,gap,1.445,1.441,0.003,0.0,0,0,756,0.0,3.9682539682539684
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep1,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.507,1.501,0.004,0.0,1,596,756,78.83597883597884,5.291005291005291
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep2,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.438,1.434,0.003,0.0,1,596,756,78.83597883597884,3.9682539682539684
