sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,fire_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct,spread_per_price_off_pct
gridplanar_path_tree,planar,planar100,path,copt-gpu,10.85,3,3,0.812,0.811,-0.12315270935960601,0.004,0.004,0.0,0.803,0.802,-0.12453300124533012,3.6363636363636362,3.3333333333333335,-8.333333333333327,9,9,4150,4150,1100,1100,0,1,0.49261083743842365,47.09090909090909,-0.04105090311986861,231340800.035001,231340800.000026,1.5118397650681952e-10,1.0767079889774323,gap,gap,0.0,0.0
gridplanar_path_tree,planar,planar100,tree,copt-gpu,10.85,3,3,1.389,1.393,0.2879769618430528,0.006,0.006,0.0,1.372,1.375,0.21865889212827197,2.4358974358974357,2.3076923076923084,-5.263157894736806,22,22,822,822,2600,2600,0,1,0.4319654427645788,26.615384615384617,-0.02273502330339873,231344992.214065,231344992.214061,1.7262146726115214e-14,0.2816869914531708,gap,gap,16.666666666666668,16.666666666666686
gridplanar_path_tree,planar,planar1000,path,copt-gpu,20.026,3,3,22.649,22.723,0.32672524173251827,0.211,0.21,-0.4739336492891,21.216,21.285,0.32522624434388697,11.087719298245615,11.210526315789474,1.1075949367088602,17,17,83894,83894,19000,19000,0,0,0.9316084595346371,27.721052631578946,0.010318448127757052,3449618257.586726,3449618257.586778,1.506695708426048e-14,33.51889181137085,gap,gap,1.4218009478673,1.421800947867291
gridplanar_path_tree,planar,planar1000,tree,copt-gpu,20.026,3,3,34.321,33.749,-1.666618105533043,0.559,0.502,-10.196779964221832,32.574,32.143,-1.3231411555228016,10.06547619047619,9.271084337349398,-7.892243129822647,51,50,8551,8528,56000,55000,1,0,1.6287404213163954,14.549090909090909,-0.12854415400398767,3449632924.121475,3449620158.974207,3.70043640847561e-06,-126437.30864667892,gap,gap,6.4400715563506115,4.524952811366511
gridplanar_path_tree,planar,planar150,path,copt-gpu,14.926666666666666,3,3,2.738,2.707,-1.1322132943754617,0.008,0.008,0.0,2.693,2.663,-1.1139992573338378,3.1944444444444446,3.1944444444444446,0.0,14,14,9776,9776,2400,2400,0,0,0.2921840759678598,27.958333333333332,0.0,548091372.107578,548091372.107576,3.697481889872759e-15,1.3844130039215088,gap,gap,12.5,12.500000000000009
gridplanar_path_tree,planar,planar150,tree,copt-gpu,14.926666666666666,3,3,5.484,5.389,-1.732312180889857,0.021,0.019,-9.52380952380953,5.403,5.307,-1.7767906718489581,2.732919254658385,2.40506329113924,-11.99654775604144,50,49,1481,1495,8100,7950,1,0,0.38293216630196936,11.615384615384615,-0.04593864020365978,548087231.31617,548089059.179483,3.334986127462725e-06,-34600.9237960577,gap,gap,23.809523809523814,26.055705300988336
gridplanar_path_tree,planar,planar30,path,copt-gpu,3.1724137931034484,3,3,0.463,0.466,0.6479481641468688,0.002,0.002,0.0,0.459,0.463,0.8714596949891075,5.747126436781609,5.747126436781609,0.0,8,8,211,211,348,348,0,1,0.4319654427645788,77.58620689655173,0.0,44350624.0,44350624.0,0.0,0.11389700323343277,gap,gap,0.0,0.0
gridplanar_path_tree,planar,planar30,tree,copt-gpu,3.1724137931034484,3,3,0.521,0.52,-0.19193857965451072,0.002,0.002,0.0,0.517,0.517,0.0,6.18921308576481,5.305039787798409,-14.285714285714286,10,10,130,130,377,377,0,1,0.3838771593090211,64.72148541114058,-0.054839594187003016,44350800.800132,44350800.800132,0.0,0.11809699982404709,gap,gap,50.0,50.0
gridplanar_path_tree,planar,planar300,path,copt-gpu,11.946666666666667,3,3,1.619,1.649,1.8529956763434234,0.014,0.014,0.0,1.583,1.613,1.8951358180669633,3.9814814814814814,3.9814814814814814,0.0,10,10,14260,14253,3600,3600,1,0,0.8647313156269303,42.97222222222222,0.0,689979980.667243,689979834.005919,2.125588105938553e-07,355.4977229833603,gap,gap,7.142857142857137,7.142857142857152
gridplanar_path_tree,planar,planar300,tree,copt-gpu,11.946666666666667,3,3,2.229,2.189,-1.7945266935845685,0.027,0.025,-7.407407407407402,2.167,2.13,-1.7074296262113486,3.4615384615384617,3.11965811965812,-9.876543209876532,22,22,2447,2447,7800,7800,0,1,1.2113055181695829,23.23076923076923,-0.11963511290563768,689995036.770966,689995036.77102,7.826405305641211e-14,0.007699012756347656,gap,gap,7.407407407407414,7.4074074074074066
gridplanar_path_tree,planar,planar50,path,copt-gpu,5.34,3,3,0.543,0.544,0.18416206261510143,0.002,0.003,50.0,0.538,0.539,0.18587360594795554,3.3333333333333335,4.444444444444445,33.333333333333336,9,9,772,772,600,600,0,1,0.3683241252302026,63.5,0.12277470841006753,122199689.000011,122199689.000011,0.0,0.2150920033454895,gap,gap,0.0,0.0
gridplanar_path_tree,planar,planar50,tree,copt-gpu,5.34,3,3,0.875,0.87,-0.571428571428572,0.004,0.004,0.0,0.868,0.863,-0.5760368663594475,3.492063492063492,3.492063492063492,0.0,17,17,256,256,1050,1050,0,1,0.4571428571428572,53.04761904761905,0.0,122199882.037321,122199882.037321,0.0,0.20589199662208557,gap,gap,25.0,24.999999999999993
gridplanar_path_tree,planar,planar500,path,copt-gpu,7.05,3,3,1.156,1.175,1.6435986159169662,0.025,0.027,7.999999999999994,1.121,1.136,1.3380909901873241,5.2,5.599999999999999,7.692307692307665,8,8,11279,11279,5000,5000,0,1,2.162629757785467,52.4,0.16635613521426612,481985162.109251,481985162.109269,3.7346798485235924e-14,9.596832036972046,gap,gap,11.999999999999996,11.999999999999993
gridplanar_path_tree,planar,planar500,tree,copt-gpu,7.05,3,3,1.127,1.133,0.532386867790595,0.038,0.036,-5.263157894736847,1.071,1.081,0.9337068160597581,5.066666666666666,4.8,-5.263157894736842,12,12,3269,3275,7500,7500,1,0,3.3717834960070983,41.18666666666667,-0.17746228926353147,481988459.777583,481987762.304849,1.4470735135366323e-06,-544.2799230217934,gap,gap,0.0,0.0
gridplanar_path_tree,planar,planar80,path,copt-gpu,6.7875,3,3,0.871,0.872,0.1148105625717567,0.004,0.003,-25.0,0.862,0.863,0.1160092807424595,3.2738095238095237,2.8125000000000004,-14.090909090909076,10,10,2613,2613,1120,1120,0,0,0.4592422502870264,55.44642857142857,-0.06471140799499002,182438134.0,182438134.0,0.0,0.42657899856567383,gap,gap,25.0,25.000000000000007
gridplanar_path_tree,planar,planar80,tree,copt-gpu,6.7875,3,3,1.556,1.56,0.2570694087403601,0.006,0.006,0.0,1.54,1.543,0.19480519480518776,2.8273809523809526,2.5297619047619047,-10.526315789473692,25,25,729,729,2240,2240,0,0,0.3856041131105398,18.303571428571427,-0.04058990664321475,182438134.018299,182438134.018298,5.554096278358154e-15,0.20628899335861206,gap,gap,50.0,50.00000000000001
gridplanar_path_tree,planar,planar800,path,copt-gpu,15.945,3,3,4.991,4.929,-1.2422360248447084,0.094,0.09,-4.255319148936174,4.782,4.725,-1.191969887076545,9.51388888888889,9.340277777777779,-1.824817518248171,10,10,52896,52896,9600,9600,0,1,1.8833901021839312,35.40625,-0.03436843252160451,1167385798.522223,1167385798.522221,1.633863145523087e-15,9.252490997314453,gap,gap,8.510638297872347,8.51063829787233
gridplanar_path_tree,planar,planar800,tree,copt-gpu,15.945,3,3,5.021,4.934,-1.7327225652260456,0.181,0.169,-6.6298342541436375,4.683,4.602,-1.7296604740550827,8.637820512820511,8.10897435897436,-6.122448979591812,23,23,6324,6324,20800,20800,0,1,3.6048595897231626,15.716346153846153,-0.2207056891667233,1167373872.737825,1167373872.737827,1.838114816533992e-15,0.3048582077026367,gap,gap,2.2099447513812174,2.2099447513812076
intermodal_tree,intermodal,BUS-13160-0,tree,copt-cpu,1.0,3,3,4.807,4.209,-12.440191387559823,2.338,2.192,-6.244653550042767,0.614,0.498,-18.892508143322477,41.95623732190654,39.84494345387249,-5.032133486697786,26,21,15089,15008,55542,55211,1,0,48.63740378614521,72.81025863942621,-2.44749908298303,348361.500163,348361.5,4.679048021244359e-10,23.22097899997607,gap,gap,1.92472198460224,1.9247219846022103
intermodal_tree,intermodal,BUS-13160-0,tree,copt-gpu,1.0,3,3,5.837,5.141,-11.923933527496997,2.337,2.217,-5.134788189987167,1.666,1.422,-14.645858343337334,42.05226075162339,39.981884057971016,-4.923342185764537,26,21,15089,14990,55542,55194,1,0,40.03769059448347,72.83400369605391,-1.971192511244085,348361.500163,348361.500002,4.62163595854366e-10,23.228185999963898,gap,gap,1.1125374411638767,1.1125374411638842
intermodal_tree,intermodal,BUS-18424-0,tree,copt-cpu,1.0,3,3,8.421,7.509,-10.830067687923039,4.347,3.596,-17.276282493673804,1.017,0.953,-6.293018682399209,46.88819105683877,47.47441544496308,1.250260193262041,33,32,21144,20906,94273,76055,1,0,51.6209476309227,72.4791269476037,0.645396159614071,485025.500001,485032.000345,1.3402066489260129e-05,14.720981999998912,gap,gap,7.338394294916032,7.023462163965367
intermodal_tree,intermodal,BUS-18424-0,tree,copt-gpu,1.0,3,3,9.886,8.952,-9.447703823588906,4.356,3.586,-17.67676767676768,2.533,2.412,-4.776944334780892,45.93397190429214,47.09749523371244,2.5330344431015317,33,32,21144,20906,94273,76055,1,1,44.06231033785151,72.4791269476037,1.1161134972840656,485025.500001,485032.000322,1.3402019069071891e-05,14.724385000008624,gap,gap,2.3645546372819046,2.364554637281914
intermodal_tree,intermodal,BUS-23688-0,tree,copt-cpu,1.0,3,3,7.078,8.155,15.216162757841184,5.004,5.013,0.1798561151079205,0.586,0.866,47.78156996587032,51.504387079929366,51.731747622974105,0.4414391781653462,13,20,27331,27325,97028,97419,1,0,70.69793727041537,71.92128845502417,0.3120883932663736,624891.002052,624893.5,3.997413935825639e-06,15.835809999960475,gap,gap,1.9184652278177476,1.9164278166649014
intermodal_tree,intermodal,BUS-23688-0,tree,copt-gpu,1.0,3,3,7.718,9.214,19.383259911894278,4.957,5.035,1.5735323784547164,1.288,1.875,45.57453416149068,50.95436368883209,51.77598292264904,1.612460983389793,13,20,27331,27345,97028,97439,1,0,64.22648354495983,71.90549985118895,1.0356269881657427,624891.001447,624894.000001,4.798523251423745e-06,15.73037599993404,gap,gap,1.1498890457938347,1.1498890457938264
intermodal_tree,intermodal,BUS-2632-0,tree,copt-cpu,1.0,3,3,1.763,1.374,-22.064662507090176,0.556,0.464,-16.54676258992806,0.286,0.215,-24.82517482517482,34.06355811202219,33.91941391941392,-0.4231624662762395,32,24,3243,3237,16342,13650,1,1,31.537152580828142,76.25641025641026,-0.1334533926543331,71026.5,71026.500108,1.5205591280172324e-09,0.9732220000005327,gap,gap,2.877697841726601,2.8776978417266115
intermodal_tree,intermodal,BUS-2632-0,tree,copt-gpu,1.0,3,3,3.172,2.433,-23.297604035308964,0.635,0.512,-19.37007874015748,1.482,1.15,-22.402159244264514,38.97931709705055,37.362637362637365,-4.147532216606001,32,24,3243,3237,16342,13650,1,1,20.018915510718788,76.25641025641026,-0.8302909702221974,71026.5,71026.500108,1.5205591280172324e-09,0.9746219999942696,gap,gap,1.2598425196850405,1.2598425196850362
intermodal_tree,intermodal,BUS-7896-0,tree,copt-cpu,1.0,3,3,2.338,2.585,10.564585115483315,1.236,1.223,-1.051779935275073,0.295,0.356,20.677966101694913,30.69457533521816,30.648391849166547,-0.15046139439050787,16,20,9168,9271,40322,40274,1,1,52.865697177074416,76.92059393156876,-0.07954246512688953,210593.501491,210595.000061,7.115936576324747e-06,14.621271000010893,gap,gap,2.1844660194174685,2.184466019417481
